ID,projects,commit url,UTC of buggy commit,UTC of fix commit,start line,end line,defect method,change lines,resource types,root causes,fix approach,patch error?,standard libraries,third-party libraries,is interprocedural,key variable name,key variable location,key variable attribute
538,INRIA/spoon,https://github.com/INRIA/spoon/commit/6189c59844369f0c5944d3581f44328823f6a117,2018-08-19T11:47:20Z,2018-08-19T11:48:15Z,169,194,src/main/java/spoon/MavenLauncher.java:readClassPath,"src/main/java/spoon/MavenLauncher.java@@ -171,26 +171,25 @@",file,noCloseEPath,try-with,no,java.io.BufferedReader,,no,br,src/main/java/spoon/MavenLauncher.java:174,local variable
539,INRIA/spoon,https://github.com/INRIA/spoon/commit/859db07f0aefd49cf6d84a3f2c7703b2612fc686,2018-02-17T05:42:26Z,2018-06-09T07:55:06Z,71,104,src/main/java/spoon/support/compiler/ZipFolder.java:getFiles,"src/main/java/spoon/support/compiler/ZipFolder.java@@ -72,11 +72,7 @@",file,noCloseEPath,try-with,no,java.util.zip.ZipInputStream,,no,zipInput,src/main/java/spoon/support/compiler/ZipFolder.java:77,local variable
540,INRIA/spoon,https://github.com/INRIA/spoon/commit/859db07f0aefd49cf6d84a3f2c7703b2612fc686,2018-04-17T18:56:41Z,2018-06-09T07:55:06Z,196,209,src/main/java/spoon/support/reflect/cu/CompilationUnitImpl.java:getOriginalSourceCode,"src/main/java/spoon/support/reflect/cu/CompilationUnitImpl.java:@@ -194,16 +194,15 @@ ",file,noCloseEPath,try-with,no,java.io.FileInputStream,,no,s,src/main/java/spoon/support/reflect/cu/CompilationUnitImpl.java:199,local variable
541,iotaledger/iri,https://github.com/iotaledger/iri/commit/dc8aa3efbe05204a802fec5ca75679c9b6134735,2016-10-24T22:06:06Z,2018-09-23T13:27:18Z,290,319,src/main/java/com/iota/iri/service/garbagecollector/GarbageCollector.java:restoreCleanupJobs,"src/main/java/com/iota/iri/service/garbagecollector/GarbageCollector.java@@ -297,20 +297,22 @@",file,noCloseEPath,CloseInFinally,no,java.io.BufferedReader,,no,reader,src/main/java/com/iota/iri/service/garbagecollector/GarbageCollector.java:292,local variable
542,IQSS/dataverse,https://github.com/IQSS/dataverse/commit/45a54da4080ae32419039c4294e9f8b42c942704,2023-04-07T00:37:55Z,2023-04-10T18:53:37Z,604,614,src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java:isFITSFile,"src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java@@ -602,12 +582,11 @@",file,noCloseRPath,try-with,no,java.io.BufferedInputStream,,no,ins,src/main/java/edu/harvard/iq/dataverse/util/FileUtil.java:608,local variable
543,IQSS/dataverse,https://github.com/IQSS/dataverse/commit/b4f30f7bb775bcada419d2a01cbf3f7cd4399e62,2023-01-24T17:47:19Z,2023-01-24T21:35:44Z,414,462,src/main/java/edu/harvard/iq/dataverse/dataaccess/TabularSubsetGenerator.java:subsetDoubleVector,"src/main/java/edu/harvard/iq/dataverse/dataaccess/TabularSubsetGenerator.java@@ -413,50 +413,48 @@",file,noCloseEPath,try-with,no,java.util.Scanner,,no,scanner,src/main/java/edu/harvard/iq/dataverse/dataaccess/TabularSubsetGenerator.java:416,local variable
544,IQSS/dataverse,https://github.com/IQSS/dataverse/commit/e64a81d18d8d68ca6efc1dcbf3c37c81244d7e54,2022-07-11T01:25:28Z,2022-07-13T14:19:50Z,225,257,src/main/java/edu/harvard/iq/dataverse/harvest/server/web/servlet/OAIServlet.java:processRequest,"src/main/java/edu/harvard/iq/dataverse/harvest/server/web/servlet/OAIServlet.java@@ -238,10 +238,9 @@",file,noCloseEPath,try-with,no,,io.gdcc.xoai.xml.XmlWriter,no,xmlWriter,src/main/java/edu/harvard/iq/dataverse/harvest/server/web/servlet/OAIServlet.java:241,local variable
545,j256/ormlite-core,https://github.com/j256/ormlite-core/commit/876d323a52a5a14219f02877c0b1e961c4f8daa5,2011-05-05T23:06:28Z,2011-05-07T04:45:17Z,152,167,src/main/java/com/j256/ormlite/stmt/StatementExecutor.java:queryForAllRawOld,"src/main/java/com/j256/ormlite/stmt/StatementExecutor.java@@ -151,18 +151,22 @@",socket,noCloseRPath,CloseInFinally,no,,com.j256.ormlite.support.DatabaseConnection,no,connection,src/main/java/com/j256/ormlite/stmt/StatementExecutor.java:153,local variable
546,JabRef/jabref,https://github.com/JabRef/jabref/commit/7d4916ead08e340c65dd956286ae22c44ea8cc48,2021-08-31T17:36:54Z,2022-01-09T10:48:14Z,60,68,src/main/java/org/jabref/logic/pdf/search/indexing/PdfIndexer.java:createIndex,"src/main/java/org/jabref/logic/pdf/search/indexing/PdfIndexer.java@@ -59,9 +59,8 @@",file,noCloseEPath,try-with,no,,org.apache.lucene.index.IndexWriter,no,indexWriter,src/main/java/org/jabref/logic/pdf/search/indexing/PdfIndexer.java:63,local variable
547,JabRef/jabref,https://github.com/JabRef/jabref/commit/fc13a86139982adbd37daf84844c8513d91c5952,2015-12-16T17:05:25Z,2015-12-21T17:26:47Z,283,291,src/main/java/net/sf/jabref/sql/SQLUtil.java:executeQueryWithResults,"src/main/java/net/sf/jabref/sql/SQLUtil.java@@ -278,16 +274,26 @@",socket,noCloseRPath,CloseOnExcep,no,java.sql.Statement,,no,stmnt,src/main/java/net/sf/jabref/sql/SQLUtil.java:284,local variable
548,javaee/jersey,https://github.com/javaee/jersey/commit/af091c03dd6e411c27d3fd404c95a8fd8c618b96,2013-10-10T11:57:38Z,2013-10-21T07:44:22Z,215,241,core-common/src/main/java/org/glassfish/jersey/internal/OsgiRegistry.java:BundleSpiProvidersLoader.call,"core-common/src/main/java/org/glassfish/jersey/internal/OsgiRegistry.java@@ -213,14 +213,17 @@ ",file,noCloseEPath,CloseInFinally,no,java.io.BufferedReader,,no,br,core-common/src/main/java/org/glassfish/jersey/internal/OsgiRegistry.java:220,local variable
549,javaee/jersey,https://github.com/javaee/jersey/commit/a31b8234d74629bf5b6498780403db8e5a28349e,2013-03-09T20:49:27Z,2013-03-19T20:42:11Z,839,856,core-common/src/main/java/org/glassfish/jersey/message/internal/OutboundMessageContext.java:close,"core-common/src/main/java/org/glassfish/jersey/message/internal/OutboundMessageContext.java@@ -839,18 +838,26 @@",file,noCloseEPath,CloseInFinally,no,,org.glassfish.jersey.message.internal.CommittingOutputStream,no,committingOutputStream,core-common/src/main/java/org/glassfish/jersey/message/internal/OutboundMessageContext.java:91,instance variable
550,javaee/jersey,https://github.com/javaee/jersey/commit/48e3052861409419f9344fc0e1a20c0a4d48262a,2013-09-11T13:06:29Z,2013-12-05T10:20:43Z,826,869,core-common/src/main/java/org/glassfish/jersey/message/internal/InboundMessageContext.java:readEntity,"core-common/src/main/java/org/glassfish/jersey/message/internal/InboundMessageContext.java:readEntity@@ -847,6 +847,8 @@",file,noCloseEPath,CloseInFinally,no,,org.glassfish.jersey.message.internal.InboundMessageContext.EntityContent,no,entityContent,core-common/src/main/java/org/glassfish/jersey/message/internal/InboundMessageContext.java:177,instance variable
551,javaee/jersey,https://github.com/javaee/jersey/commit/2059c9d411f3ce65a5976efe3ebb19471e342a1d,2012-06-25T16:10:23Z,2012-06-25T23:34:02Z,109,134,core-server/src/main/java/org/glassfish/jersey/server/ChunkedResponse.java:flushQueue,"core-server/src/main/java/org/glassfish/jersey/server/ChunkedResponse.java@@ -111,25 +107,46 @@",file,noCloseEPath,CloseInFinally,no,java.io.OutputStream,,no,responseContext.getEntityStream(),core-server/src/main/java/org/glassfish/jersey/server/ChunkedResponse.java:131,anonymous variable
552,javalite/javalite,https://github.com/javalite/javalite/commit/31d74eb737c45deabb6a818b6c9cf19b7645d11d,2016-01-30T05:24:11Z,2016-01-30T05:34:09Z,190,209,javalite-common/src/main/java/org/javalite/http/Request.java:dispose,"javalite-common/src/main/java/org/javalite/http/Request.java@@ -191,18 +191,14 @@",file,noCloseEPath,try-with,no,java.io.InputStream,,no,"in,errorStream","javalite-common/src/main/java/org/javalite/http/Request.java:195,202",local variable
553,javalite/javalite,https://github.com/javalite/javalite/commit/07765361411db054af9097504f19f8b36a420845,2014-11-16T11:37:51Z,2014-11-19T18:58:11Z,16,33,activejdbc/src/test/java/org/javalite/activejdbc/test/OracleDBReset.java:resetOracle,"javalite-common/src/main/java/org/javalite/common/Util.java:@@ -116,6 +130,26 @@ ",socket,noCloseEPath,CloseInFinally,no,java.sql.Statement,,no,st,activejdbc/src/test/java/org/javalite/activejdbc/test/OracleDBReset.java:23,local variable
554,javamelody/javamelody,https://github.com/javamelody/javamelody/commit/a8ee74d868e3e0c9c64c2827635a7bdf14872d85,2010-05-03T14:01:44Z,2010-05-31T11:38:05Z,342,390,javamelody-core/src/main/java/net/bull/javamelody/JavaInformations.java:buildDataBaseVersion,"javamelody-core/src/main/java/net/bull/javamelody/JavaInformations.java@@ -352,8 +352,11 @@",socket,noCloseEPath,CloseInFinally,no,java.sql.Connection,,no,"connection,connection","javamelody-core/src/main/java/net/bull/javamelody/JavaInformations.java:349,368",local variable
555,jbake-org/jbake,https://github.com/jbake-org/jbake/commit/21cc001f0f50a8fcf21c656174e72f805dc44424,2018-03-01T22:40:46Z,2018-04-18T13:03:22Z,139,158,jbake-core/src/main/java/org/jbake/app/FileUtil.java:updateDigest,"jbake-core/src/main/java/org/jbake/app/FileUtil.java@@ -138,15 +138,15 @@",file,noCloseEPath,try-with,no,java.io.InputStream,,no,fis,jbake-core/src/main/java/org/jbake/app/FileUtil.java:141,local variable
556,jbake-org/jbake,https://github.com/jbake-org/jbake/commit/21cc001f0f50a8fcf21c656174e72f805dc44424,2018-03-01T22:40:46Z,2018-04-18T13:03:22Z,25,50,jbake-core/src/main/java/org/jbake/app/ZipUtil.java:extract,"jbake-core/src/main/java/org/jbake/app/ZipUtil.java@@ -37,14 +37,12 @@",file,noCloseEPath,try-with,no,java.io.FileOutputStream,,no,fos,jbake-core/src/main/java/org/jbake/app/ZipUtil.java:40,local variable
557,jbake-org/jbake,https://github.com/jbake-org/jbake/commit/3ad7c8ac3e8330426d723ef64fd903ae02c8045d,2017-12-04T03:57:14Z,2017-12-04T04:29:14Z,178,214,src/main/java/org/jbake/app/Renderer.java:render,"src/main/java/org/jbake/app/Renderer.java@@ -203,9 +203,9 @@",file,noCloseEPath,try-with,no,java.io.Writer,,no,out,src/main/java/org/jbake/app/Renderer.java:206,local variable
558,jberkel/sms-backup-plus,https://github.com/jberkel/sms-backup-plus/commit/2c8db08ee5023c1b13fc5a3ff052039433ed60c9,2010-11-13T19:25:24Z,2010-11-21T20:51:27Z,125,150,src/com/zegoggles/smssync/ServiceBase.java:getMaxItemDateSms,"src/com/zegoggles/smssync/ServiceBase.java@@ -123,80 +123,42 @@",socket,noCloseRPath,CloseInFinally,no,android.database.Cursor,,no,result,src/com/zegoggles/smssync/ServiceBase.java:134,local variable
559,jboss-javassist/javassist,https://github.com/jboss-javassist/javassist/commit/f4769c7ad702fa529a790106ea5c318a7af5c7b7,2017-10-30T18:37:23Z,2017-11-12T14:17:19Z,133,142,src/main/javassist/ClassPoolTail.java:JarClassPath,"src/main/javassist/ClassPoolTail.java@@ -118,67 +119,63 @@",file,noCloseRPath,CloseInFinally,no,java.util.jar.JarFile,,no,jarfile,src/main/javassist/ClassPoolTail.java:135,instance variable
560,jboss-javassist/javassist,https://github.com/jboss-javassist/javassist/commit/abef4b9fb6d0490c8a8f41d976133239228f679e,2003-07-08T02:20:59Z,2003-07-09T08:17:32Z,416,424,src/main/javassist/ClassPool.java:write,"src/main/javassist/ClassPool.java@@ -418,8 +418,13 @@",file,noCloseEPath,CloseInFinally,no,java.io.DataOutputStream,,no,out,src/main/javassist/ClassPool.java:420,local variable
561,jboss-javassist/javassist,https://github.com/jboss-javassist/javassist/commit/abef4b9fb6d0490c8a8f41d976133239228f679e,2003-04-30T08:28:02Z,2003-07-09T08:17:32Z,255,262,src/main/javassist/ClassPoolTail.java:readClassfile,"src/main/javassist/ClassPoolTail.java@@ -256,8 +256,14 @@",file,noCloseEPath,CloseInFinally,no,java.io.InputStream,,no,fin,src/main/javassist/ClassPoolTail.java:258,local variable
562,jboss-javassist/javassist,https://github.com/jboss-javassist/javassist/commit/abef4b9fb6d0490c8a8f41d976133239228f679e,2003-04-30T08:28:02Z,2003-07-09T08:17:32Z,92,119,src/main/javassist/URLClassPath.java:fetchClass,"src/main/javassist/URLClassPath.java@@ -98,23 +98,26 @@",file,noCloseEPath,CloseInFinally,no,java.io.InputStream,,no,s,src/main/javassist/URLClassPath.java:100,local variable
563,jchambers/pushy,https://github.com/jchambers/pushy/commit/42e42e2645badfc3cfa9ccc0192a444460844c01,2014-05-16T06:40:43Z,2014-05-19T15:49:42Z,196,199,src/main/java/com/relayrides/pushy/apns/PushManagerFactory.java:createDefaultSSLContext,"src/main/java/com/relayrides/pushy/apns/PushManagerFactory.java@@ -195,7 +195,15 @@",file,noCloseRPath,CloseInFinally,no,java.io.FileInputStream,,no,keystoreInputStream,src/main/java/com/relayrides/pushy/apns/PushManagerFactory.java:197,local variable
564,jdbi/jdbi,https://github.com/jdbi/jdbi/commit/99d2a79978d038edf65a16576d6e12675367bffa,2009-06-17T16:36:36Z,2015-09-29T22:44:01Z,112,127,src/main/java/org/skife/jdbi/v2/BasicHandle.java:close,"src/main/java/org/skife/jdbi/v2/BasicHandle.java@@ -112,16 +112,19 @@",socket,noCloseEPath,CloseInFinally,no,java.sql.Connection,,no,,src/main/java/org/skife/jdbi/v2/BasicHandle.java:115,anonymous variable
565,apache/guacamole-client,https://github.com/apache/guacamole-client/commit/5c0c823913a1d77e4f72bf3212f0f7a1032cf1e1,2017-10-27T23:54:22Z,2017-10-28T13:15:58Z,168,171,extensions/guacamole-auth-cas/src/main/java/org/apache/guacamole/auth/cas/conf/PrivateKeyGuacamoleProperty.java:parseValue,"extensions/guacamole-auth-cas/src/main/java/org/apache/guacamole/auth/cas/conf/PrivateKeyGuacamoleProperty.java@@ -60,6 +60,7 @@",file,noCloseRPath,CloseOnRPath,no,java.io.FileInputStream,,no,keyStreamIn,extensions/guacamole-auth-cas/src/main/java/org/apache/guacamole/auth/cas/conf/PrivateKeyGuacamoleProperty.java:56,local variable
566,jdbi/jdbi,https://github.com/jdbi/jdbi/commit/dc9931fb7e2d464ceb41cee64889295e2722d445,2009-05-20T18:53:50Z,2009-05-21T01:34:49Z,62,99,src/main/java/org/skife/jdbi/v2/ClasspathStatementLocator.java:locate,"src/main/java/org/skife/jdbi/v2/ClasspathStatementLocator.java@@ -48,75 +47,76 @@",file,noCloseEPath,CloseInFinally,no,java.io.BufferedReader,,no,reader,src/main/java/org/skife/jdbi/v2/ClasspathStatementLocator.java:78,local variable
567,jenetics/jenetics,https://github.com/jenetics/jenetics/commit/df3708b5cc7212a302ede62e05ba8f499d9d1908,2008-09-23T18:17:24Z,2009-09-13T21:14:21Z,52,64,src/org/jenetics/util/XMLSerializer.java:write,"src/org/jenetics/util/XMLSerializer.java@@ -55,12 +55,18 @@",file,noCloseEPath,CloseInFinally,no,,javolution.xml.XMLObjectWriter,no,writer,src/org/jenetics/util/XMLSerializer.java:58,local variable
568,jenkinsci/blueocean-plugin,https://github.com/jenkinsci/blueocean-plugin/commit/db24f4985f64a0491d7a88a9bbfc49ed411c805c,2018-01-16T22:57:07Z,2018-08-14T23:10:47Z,158,176,blueocean-pipeline-api-impl/src/main/java/io/jenkins/blueocean/rest/impl/pipeline/PipelineStepImpl.java:getLogResource,"blueocean-pipeline-api-impl/src/main/java/io/jenkins/blueocean/rest/impl/pipeline/PipelineStepImpl.java@@ -164,10 +164,9 @@",file,noCloseEPath,try-with,no,,org.kohsuke.stapler.framework.io.ByteBuffer,no,byteBuffer,blueocean-pipeline-api-impl/src/main/java/io/jenkins/blueocean/rest/impl/pipeline/PipelineStepImpl.java:167,local variable
569,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/711ef4e79e437766e50313189b06ae862471a035,2020-10-17T07:45:42Z,2020-10-17T07:46:34Z,135,187,core/src/main/java/jenkins/fingerprints/FileFingerprintStorage.java:save,"core/src/main/java/jenkins/fingerprints/FileFingerprintStorage.java@@ -137,8 +137,7 @@",file,noCloseRPath,try-with,no,java.io.PrintWriter,,no,w,core/src/main/java/jenkins/fingerprints/FileFingerprintStorage.java:141,local variable
570,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/8f512603231a0c6f5a219d0698cb94720d15a041,2018-02-28T21:36:43Z,2018-03-03T12:04:29Z,781,801,core/src/main/java/hudson/Util.java:getDigestOf,"core/src/main/java/hudson/Util.java@@ -781,15 +785,15 @@",file,noCloseRPath,CloseInFinally,no,java.io.InputStream,,yes,source,core/src/main/java/hudson/Util.java:781,parameter
571,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver/commit/9f386879c38b8b88f035bc4052d00dd462962d47,2021-10-27T12:52:11Z,2021-10-27T13:09:05Z,187,220,plugins/org.jkiss.dbeaver.ext.postgresql/src/org/jkiss/dbeaver/ext/postgresql/model/PostgreCopyLoader.java:finishBulkLoad,"plugins/org.jkiss.dbeaver.ext.postgresql/src/org/jkiss/dbeaver/ext/postgresql/model/PostgreCopyLoader.java@@ -200,8 +200,10 @@",file,noCloseRPath,try-with,no,java.io.Reader,,no,csvReader,plugins/org.jkiss.dbeaver.ext.postgresql/src/org/jkiss/dbeaver/ext/postgresql/model/PostgreCopyLoader.java:230,local variable
572,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/e63774decd7b8a9986e89cf2c2da393ae689a35e,2015-11-18T18:26:41Z,2017-03-10T14:33:32Z,283,313,core/src/main/java/hudson/lifecycle/WindowsInstallerLink.java:runElevated,"core/src/main/java/hudson/lifecycle/WindowsInstallerLink.java@@ -306,9 +306,9 @@",file,noCloseEPath,try-with,no,java.io.FileInputStream,,no,fin,core/src/main/java/hudson/lifecycle/WindowsInstallerLink.java:309,local variable
573,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/5fdf33ba9b7382db3a8c833a94436b87eeb87bb6,2015-11-10T15:13:52Z,2016-07-02T16:21:58Z,80,108,core/src/main/java/hudson/util/io/TarArchiver.java:visit,"core/src/main/java/hudson/util/io/TarArchiver.java@@ -87,23 +89,31 @@",file,noCloseEPath,CloseInFinally,no,,org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,no,tar,core/src/main/java/hudson/util/io/TarArchiver.java:52,instance variable
574,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/dfb0935a0ca811a7ae5066117a42b70edbf16c1d,2013-07-23T15:38:59Z,2013-10-28T10:11:49Z,321,327,core/src/main/java/hudson/triggers/SCMTrigger.java:doPollingLog,"core/src/main/java/hudson/triggers/SCMTrigger.java@@ -322,8 +322,17 @@",file,noCloseEPath,CloseInFinally,no,,hudson.util.FlushProofOutputStream,no,out,core/src/main/java/hudson/triggers/SCMTrigger.java:324,local variable
575,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/dfb0935a0ca811a7ae5066117a42b70edbf16c1d,2013-06-03T18:20:35Z,2013-10-28T10:11:49Z,105,125,core/src/main/java/hudson/util/CompressedFile.java:loadAsString,"core/src/main/java/hudson/util/CompressedFile.java@@ -115,11 +115,20 @@",file,noCloseEPath,CloseInFinally,no,java.io.Reader,,no,r,core/src/main/java/hudson/util/CompressedFile.java:117,local variable
576,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/9696e0eda8e2c7b63bcacc45fbb06ac257b64499,2013-09-18T22:20:58Z,2013-10-28T10:11:48Z,161,272,core/src/main/java/hudson/tools/JDKInstaller.java:install,"core/src/main/java/hudson/tools/JDKInstaller.java@@ -170,8 +170,17 @@",file,noCloseEPath,CloseInFinally,no,java.io.DataInputStream,,no,in,core/src/main/java/hudson/tools/JDKInstaller.java:172,local variable
577,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/84461edc4d6031bd25eebaa7f350fbffdb5d547e,2013-10-02T20:44:26Z,2013-10-28T10:11:47Z,123,182,core/src/main/java/hudson/model/UsageStatistics.java:getStatData,"core/src/main/java/hudson/model/UsageStatistics.java@@ -172,8 +172,17 @@",file,noCloseEPath,CloseInFinally,no,java.io.OutputStreamWriter,,no,w,core/src/main/java/hudson/model/UsageStatistics.java:174,local variable
578,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/5743b6f672c01cf273485e013fe650f39d34fbec,2013-10-27T18:20:50Z,2013-10-28T10:11:47Z,2040,2056,core/src/main/java/hudson/model/Run.java:doConsoleText,"core/src/main/java/hudson/model/Run.java@@ -2052,7 +2052,14 @@",file,noCloseEPath,CloseInFinally,no,,hudson.util.FlushProofOutputStream,no,out,core/src/main/java/hudson/model/Run.java:2043,local variable
579,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/f02bf908424a72e62ac4cd37fe1b37104854ae70,2011-07-23T14:11:06Z,2013-10-28T10:11:46Z,86,195,core/src/main/java/hudson/Main.java:remotePost,"core/src/main/java/hudson/Main.java@@ -138,23 +138,33 @@",file,noCloseEPath,CloseInFinally,no,java.io.Writer,,no,w,core/src/main/java/hudson/Main.java:140,local variable
580,bitcoinj/bitcoinj,https://github.com/bitcoinj/bitcoinj/commit/b6f61e8850acabb38618baa05b4ca2edd9391a65,2014-06-26T12:45:03Z,2014-06-26T13:25:47Z,161,170,core/src/main/java/com/google/bitcoin/store/H2FullPrunedBlockStore.java:close,"core/src/main/java/com/google/bitcoin/store/H2FullPrunedBlockStore.java@@ -162,6 +162,7 @@",socket,noCloseRPath,CloseOnRPath,yes,java.sql.Connection ,,no,conn ,core/src/main/java/com/google/bitcoin/store/H2FullPrunedBlockStore.java:162,local variable
581,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/4b023ebc54420d374cfd921cd27d20226d32235a,2013-06-03T18:20:35Z,2013-10-28T10:11:46Z,172,187,core/src/main/java/hudson/console/ConsoleNote.java:encodeTo,"core/src/main/java/hudson/console/ConsoleNote.java@@ -172,16 +172,24 @@",file,noCloseEPath,CloseInFinally,no,"java.io.ObjectOutputStream,java.io.DataOutputStream",,no,"oos,dos","core/src/main/java/hudson/console/ConsoleNote.java:174,180",local variable
582,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/24ac78c58d7a83f167891a4dfe1e0dd5a73b3926,2013-04-02T16:58:50Z,2013-10-28T10:11:45Z,51,80,core/src/main/java/hudson/util/io/ZipArchiver.java:visit,"core/src/main/java/hudson/util/io/ZipArchiver.java@@ -70,10 +70,14",file,noCloseEPath,CloseInFinally,no,java.io.FileInputStream,,no,in,core/src/main/java/hudson/util/io/ZipArchiver.java:72,local variable
583,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/1966b554635b9c7dc85ff5d19e65cfc1600a565d,2013-08-24T15:43:01Z,2013-10-28T10:09:42Z,760,796,core/src/main/java/hudson/model/UpdateCenter.java:download,"core/src/main/java/hudson/model/UpdateCenter.java@@ -758,16 +758,18 @@",file,noCloseEPath,CloseInFinally,no,"java.io.OutputStream,java.io.FileOutputStream",org.apache.commons.io.input.CountingInputStream,no,"in,out","core/src/main/java/hudson/model/UpdateCenter.java:764,770",local variable
584,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/45e409ac0a42716137994797cd2f9de21d1f96e9,2013-03-02T02:59:59Z,2013-10-28T10:09:42Z,95,116,core/src/main/java/hudson/lifecycle/WindowsServiceLifecycle.java:rewriteHudsonWar,"core/src/main/java/hudson/lifecycle/WindowsServiceLifecycle.java@@ -111,8 +111,12 @@",file,noCloseEPath,CloseInFinally,no,java.io.FileWriter,,no,w,core/src/main/java/hudson/lifecycle/WindowsServiceLifecycle.java:113,local variable
585,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/26f913baaaa14d258d938151e46a9bdae0b1ceaa,2013-07-27T08:06:36Z,2013-07-27T16:28:44Z,1220,1247,core/src/main/java/hudson/FilePath.java:createTextTempFile,"core/src/main/java/hudson/FilePath.java@@ -1235,8 +1235,11 @@",file,noCloseEPath,CloseInFinally,no,java.io.Writer,,no,w,core/src/main/java/hudson/FilePath.java:1237,local variable
586,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/e5ea70c7ec77a31e4ee47a1c6073ce5f5ebffa81,2012-03-22T01:45:43Z,2012-03-22T01:45:43Z,197,387,core/src/main/java/hudson/os/windows/ManagedWindowsServiceLauncher.java:launch,"core/src/main/java/hudson/os/windows/ManagedWindowsServiceLauncher.java@@ -212,14 +212,7 @@",socket,noCloseEPath,CloseInFinally,no,java.net.Socket,,no,s,core/src/main/java/hudson/os/windows/ManagedWindowsServiceLauncher.java:216,local variable
587,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/5259996c44b849fffbe8b9fcdff73ca43d1fb94a,2014-11-04T12:54:02Z,2014-11-04T12:54:05Z,118,136,core/src/main/java/hudson/ClassicPluginStrategy.java:loadLinkedManifest,"core/src/main/java/hudson/ClassicPluginStrategy.java@@ -116,22 +116,32 @@",file,noCloseRPath,CloseInFinally,no,java.io.FileInputStream,,no,new FileInputStream(archive),core/src/main/java/hudson/ClassicPluginStrategy.java:120,anonymous variable
588,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/386ec0d15e753cb550ed8c6a9781fb925ab9713a,2011-07-16T12:55:23Z,2011-07-23T14:11:06Z,196,210,core/src/main/java/hudson/Util.java:loadFile,"core/src/main/java/hudson/Util.java@@ -200,11 +200,14 @@",file,noCloseEPath,CloseInFinally,no,java.io.BufferedReader,,no,r,core/src/main/java/hudson/Util.java:loadFile:202,local variable
589,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/386ec0d15e753cb550ed8c6a9781fb925ab9713a,2011-06-10T20:57:48Z,2011-07-23T14:11:06Z,271,328,core/src/main/java/hudson/model/Queue.java:load,"core/src/main/java/hudson/model/Queue.java@@ -274,13 +274,16 @@",file,noCloseEPath,CloseInFinally,no,java.io.BufferedReader,,no,in,core/src/main/java/hudson/model/Queue.java:276,local variable
590,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/386ec0d15e753cb550ed8c6a9781fb925ab9713a,2009-12-01T14:22:22Z,2011-07-23T14:11:06Z,47,75,core/src/main/java/hudson/util/Service.java:loadInstances,"core/src/main/java/hudson/util/Service.java@@ -51,23 +51,27 @@",file,noCloseRPath,CloseInFinally,no,java.io.BufferedReader,,no,configFile,core/src/main/java/hudson/util/Service.java:53,local variable
591,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/fbbb320a73cf892d35dd34ff90556550003644da,2006-12-29T19:15:53Z,2007-06-26T16:16:26Z,24,31,core/src/main/java/hudson/util/StreamCopyThread.java:run,"core/src/main/java/hudson/util/StreamCopyThread.java@@ -23,8 +23,11 @@",file,noCloseEPath,CloseInFinally,no,java.io.InputStream,,no,in,core/src/main/java/hudson/util/StreamCopyThread.java:20,instance variable
592,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/c1a629781ea3dca96159207d559d540e71b09943,2010-11-22T21:21:23Z,2007-06-14T05:28:26Z,183,207,core/src/main/java/hudson/scm/SubversionSCM.java:parseRevisionFile,"core/src/main/java/hudson/scm/SubversionSCM.java@@ -189,17 +189,21 @@",file,noCloseRPath,CloseInFinally,no,java.io.BufferedReader,,no,br,core/src/main/java/hudson/scm/SubversionSCM:191,local variable
593,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/commit/fe2b697e145a5d1c2b5cc60fc5f63b18b0aa79f2,2021-06-01T05:06:30Z,2021-06-11T20:34:07Z,1073,1092,core/src/main/java/hudson/PluginManager.java:parsePluginManifest,"core/src/main/java/hudson/PluginManager.java@@ -1071,8 +1069,7 @@",file,noCloseEPath,try-with,yes,java.net.URLClassLoader,,no,cl,core/src/main/java/hudson/PluginManager.java:1075,local variable
